Week,Week Ending Date,unvaccinated,partially vaccinated,fully vaccinated
1,1/23/2021,66.2785793,49.31996398,0.664537825
2,1/30/2021,56.34435112,31.56711035,0.913371384
3,2/6/2021,49.26355875,30.25832119,0.772084754
4,2/13/2021,40.2220482,22.48900866,1.837521062
5,2/20/2021,33.47678534,17.7047939,1.510959557
6,2/27/2021,28.07123824,12.6232073,1.081744036
7,3/6/2021,26.01530369,11.26823303,1.086135765
8,3/13/2021,26.99938564,13.0445609,1.055778648
9,3/20/2021,27.86625827,13.0372614,1.355871249
10,3/27/2021,32.24293946,14.47071445,1.976839493
11,4/3/2021,31.44441839,14.50287895,1.434839404
12,4/10/2021,33.48947222,16.16639307,1.711383537
13,4/17/2021,32.1521837,16.76008452,1.950748508
14,4/24/2021,27.27764583,12.36442548,1.524031785
15,5/1/2021,24.9661442,9.911412944,1.598844608
16,5/8/2021,19.24760295,8.233619405,1.20087222
17,5/15/2021,14.75226823,5.783281644,1.036052162
18,5/22/2021,12.32871242,4.427403346,0.894437974
19,5/29/2021,9.177374894,4.115124812,0.639492376
20,6/5/2021,6.950686018,2.417441855,0.739066862
21,6/12/2021,5.634214975,2.40062706,0.575220021
22,6/19/2021,4.938606769,2.269510548,0.639457785
23,6/26/2021,5.611366733,2.929760323,0.774577108
24,7/3/2021,6.942127211,3.096945823,1.074451535
25,7/10/2021,9.960020025,3.866170812,1.864568456
26,7/17/2021,15.01187258,6.871325663,3.052913212
27,7/24/2021,25.18925277,9.955775761,5.255846646
28,7/31/2021,39.69268838,17.02891859,8.98894536
29,8/7/2021,56.15674067,25.06298272,11.42409887
30,8/14/2021,71.53988045,30.21310218,13.68026671
31,8/21/2021,93.52968384,38.84417514,16.51634814
32,8/28/2021,115.444039,44.33487695,16.63941971
33,9/4/2021,124.5911972,51.11667466,17.1800677
34,9/11/2021,127.710051,52.79131468,17.91285961
35,9/18/2021,128.1047771,49.16641034,17.24356526
36,9/25/2021,111.3524304,44.2488378,16.19346594
37,10/2/2021,96.07726635,37.61307537,14.12902344
38,10/9/2021,82.31885583,30.73607392,13.24088644
39,10/16/2021,64.18958314,22.95754259,11.39833261
40,10/23/2021,52.63910017,19.3037435,9.747799376
41,10/30/2021,46.49457947,19.16392673,8.75345016
42,11/6/2021,48.63033614,17.37577143,8.982534519
43,11/13/2021,55.67432154,16.8608339,10.34413052
44,11/20/2021,62.26345499,16.49807162,10.98605506
45,11/27/2021,65.24873445,16.14132524,10.2854079
46,12/4/2021,108.2287969,27.04173584,15.81370734
47,12/11/2021,111.5464184,31.02182559,15.45523796
48,12/18/2021,162.371858,53.00716901,24.14898773
49,12/25/2021,354.9890527,113.0676118,45.14393534
50,1/1/2022,869.7368223,236.879966,69.70116757
51,1/8/2022,1043.077626,252.2686805,50.9244704
52,1/15/2022,931.5353249,222.601922,53.49672981
53,1/22/2022,566.5589583,165.6360834,37.05626254
54,1/29/2022,451.0787657,115.1138604,27.63720888
55,2/5/2022,256.6738728,77.45095964,25.69383674
56,2/12/2022,155.8375854,50.08008635,18.30477358
57,2/19/2022,97.61245401,31.19597987,12.79539023
58,2/26/2022,57.36755081,21.77457632,8.111755286
59,3/5/2022,32.30352641,12.74611939,5.99001556
60,3/12/2022,24.50769458,9.891264819,4.17369038
61,3/19/2022,18.52292943,8.109417693,3.649026747
62,3/26/2022,16.83941886,7.065195397,3.706263841
63,4/2/2022,17.7889147,11.02476205,5.099929812
64,4/9/2022,23.84260392,15.31956088,6.642847567
65,4/16/2022,35.12420198,19.25367985,8.907629782
66,4/23/2022,51.70966544,21.44075917,9.831788917
67,4/30/2022,83.40529598,25.77657342,10.07110901
68,5/7/2022,131.9011746,39.32561453,12.29609873
69,5/14/2022,166.2816641,48.65748632,13.73631599
70,5/21/2022,204.2887892,53.35859128,14.49092558
71,5/28/2022,201.1164253,49.20348228,11.19914619
72,6/4/2022,182.8165034,47.05361094,10.70405315
73,6/11/2022,185.8740597,43.62826458,6.394295651
74,6/18/2022,187.4509279,36.84448601,1.915344153
75,6/25/2022,187.1016009,38.89817539,2.407397206
76,7/2/2022,199.1380446,40.52367224,2.310156671
77,7/9/2022,202.6158224,40.80412911,2.30067117
78,7/16/2022,209.5274815,42.70458458,2.62095301
